CountryName,Access to electricity (% of population),elec,"Population, total",pop
Africa Eastern and Southern,,32.22402744,,547482863
Africa Western and Central,,44.13035389,,370243017
Arab World,,86.09902247,,371437642
Caribbean small states,,94.39591746,,7072640
Central Europe and the Baltics,,100,,103935318
Early-demographic dividend,,81.24617587,,2994346938
East Asia & Pacific,,96.37029485,,2236817711
East Asia & Pacific (excluding high income),,95.97143596,,1994389913
East Asia & Pacific (IDA & IBRD countries),,96.75638335,,1969561377
Euro area,,100,,336159199
Europe & Central Asia,,99.97834475,,893786694
Europe & Central Asia (excluding high income),,99.95192047,,402565848
Europe & Central Asia (IDA & IBRD countries),,99.95649511,,444896570
European Union,,100,,441395937
Fragile and conflict affected situations,,48.24218857,,680320763
Heavily indebted poor countries (HIPC),,32.39857969,,660193919
High income,,99.99842083,,1166465944
IBRD only,,92.78573511,,4515480155
IDA & IBRD total,,82.14744613,,5943942309
IDA blend,,61.19730843,,478335316
IDA only,,42.13616502,,950126838
IDA total,,48.51898589,,1428462154
Late-demographic dividend,,98.75820336,,2206930121
Latin America & Caribbean,,96.55893103,,603094656
Latin America & Caribbean (excluding high income),,96.39980782,,575992276
Latin America & the Caribbean (IDA & IBRD countries),,96.50473594,,586999600
Least developed countries: UN classification,,38.36541717,,876867234
Low & middle income,,81.79113736,,5919324494
Low income,,30.16081464,,541205688
Lower middle income,,77.21604421,,2968243908
Middle East & North Africa,,95.40188482,,401968363
Middle East & North Africa (excluding high income),,94.64259347,,344998428
Middle East & North Africa (IDA & IBRD countries),,94.58295597,,341018430
Middle income,,86.98680421,,5378118806
North America,,100,,348656682
Not classified,,,,
OECD members,,99.81385542,,1306807834
Other small states,,69.2896964,,27227313
Pacific island small states,,72.97764916,,2268553
Post-demographic dividend,,99.97287685,,1082374116
Pre-demographic dividend,,37.01419371,,775573262
Small states,,74.37422405,,36568506
South Asia,,77.42161943,,1683740452
South Asia (IDA & IBRD),,77.42161943,,1683740452
Sub-Saharan Africa,,37.02745984,,917725880
Sub-Saharan Africa (excluding high income),,37.02156105,,917637577
Sub-Saharan Africa (IDA & IBRD countries),,37.02745984,,917725880
Upper middle income,,99.02173135,,2409874898
World,,84.73835469,,7085790438
Afghanistan,,69.1,,31161378
Albania,,99.9,,2900401
Algeria,,98.76466047,,37383899
American Samoa,,,,55669
Andorra,,100,,82427
Angola,,37.10102463,,25107925
Antigua and Barbuda,,100,,90407
Argentina,,99.22885895,,41733271
Armenia,,99.61703491,,2884239
Aruba,,100,,102565
Australia,,100,,22733465
Austria,,100,,8429991
Azerbaijan,,100,,9295784
"Bahamas, The",,100,,363581
Bahrain,,100,,1299942
Bangladesh,,65.41366577,,151005733
Barbados,,100,,283698
Belarus,,100,,9464495
Belgium,,100,,11106932
Belize,,90.98912048,,338001
Benin,,38.4,,9729254
Bermuda,,100,,64798
Bhutan,,91.5,,701582
Bolivia,,90.387375,,10377677
Bosnia and Herzegovina,,100,,3604972
Botswana,,55.87431335,,2039551
Brazil,,99.519494,,199287292
British Virgin Islands,,99.27532959,,28654
Brunei Darussalam,,100,,398997
Bulgaria,,100,,7305888
Burkina Faso,,15.16293812,,16571252
Burundi,,6.5,,9245992
Cabo Verde,,80.95207977,,505241
Cambodia,,51.52984238,,14780454
Cameroon,,54.98992157,,21485267
Canada,,100,,34714222
Cayman Islands,,100,,58963
Central African Republic,,10.89428234,,4436411
