﻿CountryName,Renew_output,Elec_power_cons,Income_group,elec_access,pop
Afghanistan,85.90998043,,Low income,69.1,"3,11,61,376"
Albania,100,"2,118.33",Upper middle income,99.9,"29,00,401"
Algeria,1.083680332,"1,237.97",Lower middle income,98.76466047,"3,73,83,887"
American Samoa,0.702426564,,Upper middle income,,"55,667"
Andorra,86.6894198,,High income,100,"82,427"
Angola,60.7994842,219.2534303,Lower middle income,35.66650009,"2,51,07,931"
Antigua and Barbuda,0,,High income,100,"90,409"
Arab World,3.481218522,"2,377.21",,87.51226024,"37,14,43,547"
Argentina,29.26113532,"3,000.60",Upper middle income,99.49785614,"4,17,33,271"
Armenia,28.94474863,"1,892.01",Upper middle income,99.89702606,"28,84,229"
Aruba,14.91525424,,High income,100,"1,02,560"
Australia,10.59265336,"10,407.74",High income,100,"2,27,33,465"
Austria,74.52918061,"8,548.88",High income,100,"84,29,991"
Azerbaijan,7.921524274,"2,052.65",Upper middle income,100,"92,95,784"
"Bahamas, The",0,,High income,100,"3,63,584"
Bahrain,0,"17,849.24",High income,100,"12,99,943"
Bangladesh,1.600016474,283.4621656,Lower middle income,62.84700394,"15,10,07,807"
Barbados,0,,High income,100,"2,83,700"
Belarus,0.555212832,"3,697.40",Upper middle income,100,"94,64,495"
Belgium,12.81287904,"7,988.52",High income,100,"1,11,06,932"
Belize,49.19400582,,Upper middle income,91.99225617,"3,38,000"
Benin,0,93.12127721,Lower middle income,38.4,"97,29,248"
Bermuda,0,,High income,100,"64,798"
Bhutan,99.99707033,,Lower middle income,91.5,"7,01,583"
Bolivia,32.3064874,654.4817934,Lower middle income,90.387375,"1,03,77,676"
Bosnia and Herzegovina,29.93182787,"3,479.08",Upper middle income,100,"36,04,972"
Botswana,0,"1,756.27",Upper middle income,53.38058853,"20,39,551"
Brazil,82.4482831,"2,501.47",Upper middle income,99.519494,"19,92,87,296"
British Virgin Islands,0.816357671,,High income,99.22265625,"28,650"
Brunei Darussalam,0.050890585,"9,240.86",High income,100,"3,98,989"
Bulgaria,11.43648425,"4,761.91",Upper middle income,100,"73,05,888"
Burkina Faso,15.456,,Low income,15.43811321,"1,65,71,246"
Burundi,97.9618194,,Low income,6.5,"92,45,988"
Cabo Verde,18.36674843,,Lower middle income,80.74679565,"5,05,235"
Cambodia,37.65690377,207.2331472,Lower middle income,51.39193726,"1,47,80,454"
Cameroon,75.36507937,247.4253751,Lower middle income,54.94634247,"2,14,85,266"
Canada,63.23056117,"15,336.62",High income,100,"3,47,14,222"
Caribbean small states,9.400621209,"2,883.98",,94.43145224,"70,72,661"
Cayman Islands,0,,High income,100,"58,958"
Central African Republic,84.65909091,,Low income,15.97435284,"44,36,415"
Central Europe and the Baltics,14.96574218,"4,093.46",,100,"10,39,35,318"
Chad,0,,Low income,7.487630844,"1,27,84,750"
Channel Islands,0,,High income,,"1,62,056"
Chile,36.44535562,"3,807.51",High income,100,"1,74,00,347"
China,19.96624894,"3,474.99",Upper middle income,99.9748764,"1,35,06,95,000"
Colombia,79.5501941,"1,170.07",Upper middle income,97.032176,"4,60,75,721"
Comoros,0,,Lower middle income,69.3,"7,23,871"
"Congo, Dem. Rep.",99.88176563,112.1836598,Low income,15.4,"6,90,20,747"
